ocel_id;ocel_time;ocel_changed_field;Departure Date
vh1;2023-05-30 11:00:00;;2023-05-30 11:00:00
vh2;2023-06-02 11:00:00;;2023-06-02 11:00:00
vh3;2023-06-06 11:00:00;;2023-06-06 11:00:00
vh4;2023-06-09 11:00:00;;2023-06-09 11:00:00
vh5;2023-06-13 11:00:00;;2023-06-13 11:00:00
vh6;2023-06-16 11:00:00;;2023-06-16 11:00:00
vh7;2023-06-20 11:00:00;;2023-06-20 11:00:00
vh8;2023-06-23 11:00:00;;2023-06-23 11:00:00
vh9;2023-06-27 11:00:00;;2023-06-27 11:00:00
vh10;2023-06-30 11:00:00;;2023-06-30 11:00:00
vh11;2023-07-04 11:00:00;;2023-07-04 11:00:00
vh12;2023-07-07 11:00:00;;2023-07-07 11:00:00
vh13;2023-07-11 11:00:00;;2023-07-11 11:00:00
vh14;2023-07-14 11:00:00;;2023-07-14 11:00:00
vh15;2023-07-18 11:00:00;;2023-07-18 11:00:00
vh16;2023-07-21 11:00:00;;2023-07-21 11:00:00
vh17;2023-07-25 11:00:00;;2023-07-25 11:00:00
vh18;2023-07-28 11:00:00;;2023-07-28 11:00:00
vh19;2023-08-01 11:00:00;;2023-08-01 11:00:00
vh20;2023-08-04 11:00:00;;2023-08-04 11:00:00
vh21;2023-08-08 11:00:00;;2023-08-08 11:00:00
vh22;2023-08-11 11:00:00;;2023-08-11 11:00:00
vh23;2023-08-15 11:00:00;;2023-08-15 11:00:00
vh24;2023-08-18 11:00:00;;2023-08-18 11:00:00
vh25;2023-08-22 11:00:00;;2023-08-22 11:00:00
vh26;2023-08-25 11:00:00;;2023-08-25 11:00:00
vh27;2023-08-29 11:00:00;;2023-08-29 11:00:00
vh28;2023-09-01 11:00:00;;2023-09-01 11:00:00
vh29;2023-09-05 11:00:00;;2023-09-05 11:00:00
vh30;2023-09-08 11:00:00;;2023-09-08 11:00:00
vh31;2023-09-12 11:00:00;;2023-09-12 11:00:00
vh32;2023-09-15 11:00:00;;2023-09-15 11:00:00
vh33;2023-09-19 11:00:00;;2023-09-19 11:00:00
vh34;2023-09-22 11:00:00;;2023-09-22 11:00:00
vh35;2023-09-26 11:00:00;;2023-09-26 11:00:00
vh36;2023-09-29 11:00:00;;2023-09-29 11:00:00
vh37;2023-10-03 11:00:00;;2023-10-03 11:00:00
vh38;2023-10-06 11:00:00;;2023-10-06 11:00:00
vh39;2023-10-10 11:00:00;;2023-10-10 11:00:00
vh40;2023-10-13 11:00:00;;2023-10-13 11:00:00
vh41;2023-10-17 11:00:00;;2023-10-17 11:00:00
vh42;2023-10-20 11:00:00;;2023-10-20 11:00:00
vh43;2023-10-24 11:00:00;;2023-10-24 11:00:00
vh44;2023-10-27 11:00:00;;2023-10-27 11:00:00
vh45;2023-10-31 11:00:00;;2023-10-31 11:00:00
vh46;2023-11-03 11:00:00;;2023-11-03 11:00:00
vh47;2023-11-07 11:00:00;;2023-11-07 11:00:00
vh48;2023-11-10 11:00:00;;2023-11-10 11:00:00
vh49;2023-11-14 11:00:00;;2023-11-14 11:00:00
vh50;2023-11-17 11:00:00;;2023-11-17 11:00:00
vh51;2023-11-21 11:00:00;;2023-11-21 11:00:00
vh52;2023-11-24 11:00:00;;2023-11-24 11:00:00
vh53;2023-11-28 11:00:00;;2023-11-28 11:00:00
vh54;2023-12-01 11:00:00;;2023-12-01 11:00:00
vh55;2023-12-05 11:00:00;;2023-12-05 11:00:00
vh56;2023-12-08 11:00:00;;2023-12-08 11:00:00
vh57;2023-12-12 11:00:00;;2023-12-12 11:00:00
vh58;2023-12-15 11:00:00;;2023-12-15 11:00:00
vh59;2023-12-19 11:00:00;;2023-12-19 11:00:00
vh60;2023-12-22 11:00:00;;2023-12-22 11:00:00
vh61;2023-12-26 11:00:00;;2023-12-26 11:00:00
vh62;2023-12-29 11:00:00;;2023-12-29 11:00:00
vh63;2024-01-02 11:00:00;;2024-01-02 11:00:00
vh64;2024-01-05 11:00:00;;2024-01-05 11:00:00
vh65;2024-01-09 11:00:00;;2024-01-09 11:00:00
vh66;2024-01-12 11:00:00;;2024-01-12 11:00:00
vh67;2024-01-16 11:00:00;;2024-01-16 11:00:00
vh68;2024-01-19 11:00:00;;2024-01-19 11:00:00
vh69;2024-01-23 11:00:00;;2024-01-23 11:00:00
vh70;2024-01-26 11:00:00;;2024-01-26 11:00:00
vh71;2024-01-30 11:00:00;;2024-01-30 11:00:00
vh72;2024-02-02 11:00:00;;2024-02-02 11:00:00
vh73;2024-02-06 11:00:00;;2024-02-06 11:00:00
vh74;2024-02-09 11:00:00;;2024-02-09 11:00:00
vh75;2024-02-13 11:00:00;;2024-02-13 11:00:00
vh76;2024-02-16 11:00:00;;2024-02-16 11:00:00
vh77;2024-02-20 11:00:00;;2024-02-20 11:00:00
vh78;2024-02-23 11:00:00;;2024-02-23 11:00:00
vh79;2024-02-27 11:00:00;;2024-02-27 11:00:00
